p (GeV)        dN/dp          error          
0.005225       0              0              
0.015675       0              0              
0.026125       0              0              
0.036575       0              0              
0.047025       0              0              
0.057475       0              0              
0.067925       0              0              
0.078375       0              0              
0.088825       0              0              
0.099275       0              0              
0.109725       0              0              
0.120175       0              0              
0.130625       0              0              
0.141075       0              0              
0.151525       0              0              
0.161975       0              0              
0.172425       0              0              
0.182875       0              0              
0.193325       0              0              
0.203775       0              0              
0.214225       0              0              
0.224675       4.78469e-06    4.78469e-06    
0.235125       0              0              
0.245575       0              0              
0.256025       0              0              
0.266475       0              0              
0.276925       0              0              
0.287375       0              0              
0.297825       0              0              
0.308275       0              0              
0.318725       0              0              
0.329175       0              0              
0.339625       0              0              
0.350075       0              0              
0.360525       0              0              
0.370975       0              0              
0.381425       0              0              
0.391875       0              0              
0.402325       0              0              
0.412775       0              0              
0.423225       0              0              
0.433675       0              0              
0.444125       0              0              
0.454575       0              0              
0.465025       0              0              
0.475475       0              0              
0.485925       0              0              
0.496375       4.78469e-06    4.78469e-06    
0.506825       4.78469e-06    4.78469e-06    
0.517275       0              0              
0.527725       0              0              
0.538175       4.78469e-06    4.78469e-06    
0.548625       0              0              
0.559075       0              0              
0.569525       4.78469e-06    4.78469e-06    
0.579975       0              0              
0.590425       0              0              
0.600875       4.78469e-06    4.78469e-06    
0.611325       0              0              
0.621775       4.78469e-06    4.78469e-06    
0.632225       0              0              
0.642675       0              0              
0.653125       9.56938e-06    6.76657e-06    
0.663575       4.78469e-06    4.78469e-06    
0.674025       4.78469e-06    4.78469e-06    
0.684475       0              0              
0.694925       0              0              
0.705375       9.56938e-06    6.76657e-06    
0.715825       1.43541e-05    8.28732e-06    
0.726275       0              0              
0.736725       0              0              
0.747175       4.78469e-06    4.78469e-06    
0.757625       9.56938e-06    6.76657e-06    
0.768075       0              0              
0.778525       0              0              
0.788975       4.78469e-06    4.78469e-06    
0.799425       0              0              
0.809875       1.91388e-05    9.56938e-06    
0.820325       0              0              
0.830775       0              0              
0.841225       0              0              
0.851675       4.78469e-06    4.78469e-06    
0.862125       9.56938e-06    6.76657e-06    
0.872575       0              0              
0.883025       4.78469e-06    4.78469e-06    
0.893475       4.78469e-06    4.78469e-06    
0.903925       4.78469e-06    4.78469e-06    
0.914375       0              0              
0.924825       4.78469e-06    4.78469e-06    
0.935275       4.78469e-06    4.78469e-06    
0.945725       4.78469e-06    4.78469e-06    
0.956175       9.56938e-06    6.76657e-06    
0.966625       1.91388e-05    9.56938e-06    
0.977075       1.43541e-05    8.28732e-06    
0.987525       4.78469e-06    4.78469e-06    
0.997975       9.56938e-06    6.76657e-06    
1.00842        4.78469e-06    4.78469e-06    
1.01887        9.56938e-06    6.76657e-06    
1.02933        4.78469e-06    4.78469e-06    
1.03977        4.78469e-06    4.78469e-06    
1.05022        4.78469e-06    4.78469e-06    
1.06068        1.43541e-05    8.28732e-06    
1.07112        4.78469e-06    4.78469e-06    
1.08157        1.43541e-05    8.28732e-06    
1.09203        1.91388e-05    9.56938e-06    
1.10247        9.56938e-06    6.76657e-06    
1.11292        1.43541e-05    8.28732e-06    
1.12338        4.78469e-06    4.78469e-06    
1.13382        9.56938e-06    6.76657e-06    
1.14427        1.91388e-05    9.56938e-06    
1.15473        1.91388e-05    9.56938e-06    
1.16517        9.56938e-06    6.76657e-06    
1.17562        9.56938e-06    6.76657e-06    
1.18607        2.39234e-05    1.06989e-05    
1.19652        1.91388e-05    9.56938e-06    
1.20697        9.56938e-06    6.76657e-06    
